Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
11.25,1.3405,0.01745,0.01121,-0.0247,0.0563,1
11.5,1.3573,0.01797,0.01176,-0.0233,0.0536,1
11.75,1.3712,0.01868,0.01246,-0.0216,0.0507,1
12,1.3873,0.01928,0.01309,-0.0202,0.0486,1
12.25,1.4017,0.01999,0.01381,-0.0187,0.0465,1
12.5,1.4137,0.02088,0.0147,-0.017,0.0443,1
12.75,1.4289,0.02158,0.01545,-0.0157,0.0429,1
13,1.4419,0.02244,0.01634,-0.0143,0.0412,1
13.25,1.452,0.02354,0.01745,-0.0127,0.0395,1
13.5,1.4646,0.02449,0.01845,-0.0115,0.0383,1
13.75,1.4768,0.0255,0.01951,-0.0103,0.0371,1
14,1.4868,0.02672,0.02076,-0.0091,0.0359,1
14.25,1.4934,0.02824,0.02231,-0.0078,0.0346,1
14.5,1.5032,0.02956,0.02369,-0.0068,0.0338,1
14.75,1.5131,0.03093,0.02512,-0.0059,0.033,1
15,1.5209,0.03251,0.02675,-0.0051,0.0321,1
15.25,1.5263,0.03434,0.02862,-0.0043,0.0313,1
15.5,1.5279,0.0366,0.03094,-0.0035,0.0304,1
15.75,1.5323,0.03869,0.0331,-0.003,0.0298,1
16,1.5382,0.04068,0.03516,-0.0026,0.0292,1
16.25,1.5424,0.04289,0.03744,-0.0024,0.0285,1
16.5,1.5448,0.04537,0.03998,-0.0023,0.0279,1
16.75,1.5446,0.04821,0.04289,-0.0023,0.0273,1
17,1.5406,0.05155,0.0463,-0.0025,0.0267,1
17.25,1.5334,0.05538,0.05021,-0.0028,0.0262,1
17.5,1.5339,0.05836,0.05328,-0.0032,0.0258,1
17.75,1.5323,0.06164,0.05665,-0.0038,0.0255,1
18,1.529,0.06517,0.06028,-0.0044,0.0251,1
18.25,1.5241,0.06897,0.06416,-0.0052,0.0247,1
18.5,1.5177,0.07304,0.06832,-0.0062,0.0243,1
18.75,1.5093,0.07744,0.07279,-0.0074,0.024,1
19,1.4987,0.08216,0.07761,-0.0087,0.0237,1
19.25,1.4857,0.08734,0.08287,-0.0103,0.0234,1
